Date,C1_School closing,C1_combined,C2_Workplace closing,C2_combined,C3_Cancel public events,C3_combined,C4_Restrictions on gatherings,C4_combined,C5_Close public transport,C5_combined,C6_Stay at home requirements,C6_combined,C7_Restrictions on internal movement,C7_combined
20200101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200310,0,0,0,0,2,2G,0,0,0,0,0,0,0,0
20200311,0,0,0,0,2,2G,0,0,0,0,0,0,0,0
20200312,0,0,0,0,2,2G,0,0,0,0,0,0,0,0
20200313,3,3G,0,0,2,2G,0,0,0,0,0,0,0,0
20200314,3,3G,0,0,2,2G,0,0,0,0,0,0,0,0
20200315,3,3G,0,0,2,2G,0,0,0,0,0,0,0,0
20200316,3,3G,2,2G,2,2G,0,0,0,0,0,0,0,0
20200317,3,3G,2,2G,2,2G,0,0,0,0,0,0,0,0
20200318,3,3G,2,2G,2,2G,0,0,0,0,0,0,0,0
20200319,3,3G,2,2G,2,2G,0,0,0,0,0,0,0,0
20200320,3,3G,2,2G,2,2G,0,0,0,0,0,0,0,0
20200321,3,3G,2,2G,2,2G,0,0,0,0,0,0,0,0
20200322,3,3G,2,2G,2,2G,0,0,0,0,0,0,0,0
20200323,3,3G,2,2G,2,2G,4,4G,0,0,0,0,0,0
20200324,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200325,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200326,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200327,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200328,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200329,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200330,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200331,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200401,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200402,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200403,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200404,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200405,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200406,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200407,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200408,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200409,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200410,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200411,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200412,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200413,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200414,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200415,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200416,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200417,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200418,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200419,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200420,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200421,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200422,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200423,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200424,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200425,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200426,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200427,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200428,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200429,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200430,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200501,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200502,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200503,3,3G,2.5,3T,2,2G,4,4G,2,2G,2,2G,2,2G
20200504,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200505,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200506,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200507,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200508,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200509,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200510,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200511,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200512,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200513,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200514,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200515,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200516,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200517,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200518,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200519,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200520,3,3G,2,2G,2,2G,4,4G,2,2G,2,2G,2,2G
20200521,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200522,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200523,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200524,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200525,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200526,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200527,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200528,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200529,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200530,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200531,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200601,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200602,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200603,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200604,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200605,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200606,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200607,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,1,1G
20200608,2,2G,2,2G,2,2G,3,3G,2,2G,1,1G,0,0
20200609,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200610,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200611,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200612,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200613,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200614,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200615,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200616,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200617,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200618,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200619,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200620,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200621,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200622,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200623,2,2G,2,2G,2,2G,3,3G,1,1G,1,1G,0,0
20200624,2,2G,1,1G,1,1G,3,3G,1,1G,1,1G,0,0
20200625,2,2G,1,1G,1,1G,3,3G,1,1G,1,1G,0,0
20200626,2,2G,1,1G,1,1G,3,3G,1,1G,1,1G,0,0
20200627,2,2G,1,1G,1,1G,3,3G,1,1G,1,1G,0,0
20200628,2,2G,1,1G,1,1G,3,3G,1,1G,1,1G,0,0
20200629,2,2G,1,1G,1,1G,3,3G,1,1G,1,1G,0,0
20200630,2,2G,1,1G,1,1G,3,3G,1,1G,1,1G,0,0
20200701,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200702,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200703,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200704,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200705,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200706,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200707,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200708,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200709,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200710,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200711,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200712,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200713,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200714,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200715,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200716,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200717,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200718,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200719,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200720,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200721,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200722,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200723,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200724,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200725,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200726,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200727,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200728,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200729,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200730,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200731,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200801,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200802,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200803,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200804,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200805,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200806,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200807,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200808,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200809,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200810,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200811,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200812,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200813,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200814,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200815,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200816,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200817,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200818,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200819,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200820,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200821,2,2G,0,0,1,1G,2,2G,1,1G,1,1G,0,0
20200822,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200823,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200824,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200825,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200826,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200827,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200828,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200829,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200830,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200831,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200901,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200902,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200903,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200904,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200905,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200906,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200907,2,2G,0,0,1,1G,3,3G,1,1G,1,1G,0,0
20200908,2,2G,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200909,2,2G,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200910,2,2G,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200911,2,2G,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200912,2,2G,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200913,2,2G,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200914,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200915,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200916,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200917,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200918,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200919,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200920,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200921,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200922,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200923,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200924,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200925,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200926,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200927,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200928,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200929,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20200930,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201001,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201002,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201003,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201004,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201005,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201006,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201007,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201008,1.5,2T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201009,0.5,1T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201010,0.5,1T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201011,0.5,1T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201012,0.5,1T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201013,0.5,1T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201014,0.5,1T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201015,0.5,1T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201016,0.5,1T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201017,0.5,1T,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201018,0.5,1T,0.5,1T,1,1G,3,3G,1,1G,1,1G,0,0
20201019,0.5,1T,0.5,1T,1,1G,3,3G,1,1G,1,1G,0,0
20201020,1,1G,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201021,1,1G,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201022,1,1G,1.5,2T,1,1G,3,3G,1,1G,1,1G,0,0
20201023,1,1G,2,2G,2,2G,4,4G,1,1G,1.5,2T,0,0
20201024,1,1G,2,2G,2,2G,4,4G,1,1G,1.5,2T,0,0
20201025,1,1G,2,2G,2,2G,4,4G,1,1G,1.5,2T,0,0
20201026,1,1G,2,2G,2,2G,4,4G,1,1G,1.5,2T,0,0
20201027,1,1G,2,2G,2,2G,4,4G,1,1G,1.5,2T,0,0
20201028,1,1G,2,2G,2,2G,4,4G,1,1G,1.5,2T,0,0
20201029,1,1G,2,2G,2,2G,4,4G,1,1G,1.5,2T,0,0
20201030,1,1G,2,2G,2,2G,4,4G,1,1G,1.5,2T,0,0
20201031,1,1G,2,2G,2,2G,4,4G,1,1G,1.5,2T,0,0
